x,y_ref,y_taylor,abs_err,rel_err,orden
-6.704,-0.999996993861889,93.7300005546667,94.7299975485285,94.7302823208405,3
-6.688,-0.999996896109928,93.0286175573333,94.0286144534433,94.028906308832,3
-6.672,-0.999996795179328,92.330658816,93.3306556111793,93.3309547201523,3
-6.656,-0.999996690966728,91.6361161386667,92.6361128296334,92.6364193666273,3
-6.64,-0.999996583365404,90.9449813333333,91.9449779166987,91.9452920601645,3
-6.624,-0.999996472265167,90.257246208,91.2572426802652,91.2575646127546,3
-6.608,-0.99999635755224,89.5729025706667,90.5728989282189,90.5732288364734,3
-6.592,-0.999996239109148,88.8919422293333,89.8919384684425,89.892276543483,3
-6.576,-0.999996116814597,88.214356992,89.2143531088146,89.2146995460336,3
-6.56,-0.999995990543348,87.5401386666667,88.54013465721,88.5404896564652,3
-6.544,-0.99999586016609,86.8692790613333,87.8692749214994,87.8696386872093,3
-6.528,-0.999995725549307,86.201769984,87.2017657095493,87.2021384507905,3
-6.512,-0.999995586555141,85.5376032426667,86.5375988292218,86.5379807598281,3
-6.496,-0.999995443041251,84.8767706453333,85.8767660883746,85.8771574270385,3
-6.48,-0.999995294860669,84.219264,85.2192592948607,85.2196602652359,3
-6.464,-0.999995141861648,83.5650751146667,84.5650702565283,84.5654810873353,3
-6.448,-0.999994983887504,82.9141957973333,83.9141907812208,83.9146117063532,3
-6.432,-0.999994820776462,82.266617856,83.2666126767765,83.2670439354104,3
-6.416,-0.999994652361483,81.6223330986667,82.6223277510282,82.6227695877332,3
-6.4,-0.9999944784701,80.9813333333333,81.9813278118034,81.9817804766556,3
-6.384,-0.999994298924234,80.343610368,81.3436046669242,81.3440684156214,3
-6.368,-0.999994113540018,79.7091560106667,80.7091501242067,80.7096252181857,3
-6.352,-0.999993922127606,79.0779620693333,80.0779559914609,80.0784426980172,3
-6.336,-0.999993724490978,78.450020352,79.450014076491,79.4505126689,3
-6.32,-0.999993520427741,77.8253226666667,78.8253161870944,78.825826944736,3
-6.304,-0.999993309728921,77.2038608213333,78.2038541310623,78.2043773395462,3
-6.288,-0.999993092178747,76.585626624,77.5856197161787,77.5861556674738,3
-6.272,-0.999992867554434,75.9706118826667,76.9706047502211,76.9711537427853,3
-6.256,-0.999992635625951,75.3588084053333,76.3588010409593,76.3593633798733,3
-6.24,-0.999992396155789,74.750208,75.7502003961558,75.7507763932583,3
-6.224,-0.999992148898716,74.1448024746667,75.1447946235654,75.1453845975909,3
-6.208,-0.999991893601523,73.5425836373333,74.5425755309349,74.5431798076541,3
-6.192,-0.99999163000277,72.943543296,73.9435349260028,73.9441538383656,3
-6.176,-0.999991357832517,72.3476732586667,73.3476646164992,73.3482985047794,3
-6.16,-0.999991076812044,71.7549653333333,72.7549564101454,72.7556056220892,3
