threshold,Precision,Recall,F1
0.559773103066124,0.98936170212766,0.93,0.958762886597938
0.565011305984348,0.989247311827957,0.92,0.953367875647668
0.569231170369473,0.989130434782609,0.91,0.947916666666667
0.578588295638459,0.989010989010989,0.9,0.942408376963351
0.579251307731496,0.988888888888889,0.89,0.936842105263158
0.583415606851795,0.98876404494382,0.88,0.931216931216931
0.585204722110141,0.988636363636364,0.87,0.925531914893617
0.585292989303085,0.988505747126437,0.86,0.919786096256685
0.588649925851323,0.988372093023256,0.85,0.913978494623656
0.590800803072936,0.988235294117647,0.84,0.908108108108108
0.591093570494776,1,0.84,0.91304347826087
0.593112954183197,1,0.83,0.907103825136612
0.593841826668001,1,0.82,0.901098901098901
0.613512008267554,1,0.81,0.895027624309392
0.613634717801129,1,0.8,0.888888888888889
0.619050130557512,1,0.79,0.88268156424581
